RFM_Score,Count,Period
3,1,2014-12-02
4,28,2014-12-02
5,257,2014-12-02
6,915,2014-12-02
7,1200,2014-12-02
8,1101,2014-12-02
9,1440,2014-12-02
10,471,2014-12-02
11,89,2014-12-02
12,4,2014-12-02
3,1,2014-05-02
4,22,2014-05-02
5,252,2014-05-02
6,897,2014-05-02
7,1173,2014-05-02
8,1138,2014-05-02
9,1441,2014-05-02
10,473,2014-05-02
11,97,2014-05-02
12,4,2014-05-02
4,32,2013-12-02
5,281,2013-12-02
6,992,2013-12-02
7,1204,2013-12-02
8,1046,2013-12-02
9,1378,2013-12-02
10,430,2013-12-02
11,90,2013-12-02
12,8,2013-12-02
